status,mysql_chunk_uid,mysql_chunk_index,milvus_doc_id,mysql_text,milvus_text
MISSING,e5c3a6c8fbfd4303a2d03db570ebeeea,0,,Section: 报告标题与分析师信息\n\n证券研究报告食品饮料 | 调味发酵品 II非金融 | 首次覆盖报告\n\n证券分析师张东雪SAC: S1350525060001 zhangdongxue@huayuanstock.com周翔SAC: S1350525070003 zhouxiang@huayuanstock.com联系人市场表现:,
MISSING,256cab8b56b844e2806a0db178e2877e,1,,"Section: 公司基础数据与报告引言\n\n海大味业 沪深300基本数据 2026年 05月 21日收盘价（元） 35.34一年内最高/最低 45.75/34.83 （元）总市值（百万元） 206,803.49流通市值（百万元） 206,803.49总股本（百万股） 5,851.82资产负债率（%） 12.09每股净资产（元/股） 7.18资料来源：聚源数据海天味业(603288.SH)——调味品行业强者恒强，平台型龙头稳健扩张",
MISSING,69aa932a50c64ac2a741629d4b4b9fdd,2,,Section: 经营复盘：公司行业地位与历史业绩\n\n经营复盘，公司系中国调味品行业的领军品牌。公司是我国历史悠久的调味品龙头企业，致力于提供优质产品以满足BC端客户的调味需求；在我国庞大且相对分散的调味品市场，公司收入规模领先，产品矩阵高度完整，全国市场覆盖度广，品牌影响力更是家喻户晓。截至2025年末，公司实现营收/归母净利润约289/70亿元，2014-2025年复合增速分别为10%/12%。,
MISSING,1a9d57efa3b14c11bdbc0f529aa6046d,3,,Section: 全球及中国调味品市场空间与结构性增长\n\n全球调味品市场空间广阔，国内市场呈结构性增长。根据弗若斯特沙利文，截至2024年全球调味品总市场规模达2.14万亿元，2019-2024年CAGR为3.2%；其中，中国是全球调味品市场中第三大的国家/地区，市场规模达4981亿元，2019-2024年CAGR约4.1%。分品类看，国内以酱油为代表的基调味品市场占比较高，2019-2024年需求CAGR放缓至2.9%，而复合调味品景气度相对更高，复合市场增速达高个位数。,
MISSING,482cc89531de4868a536ad7525decc53,4,,Section: 行业集中度与龙头竞争优势\n\n行业集中度提升空间大，龙头有望强者恒强。国内调味品行业整体呈现品类多元，市场相对分散的特征；以酱油品类为例，2024年国内行业CR5约25.1%，其中海天市占率达13.2%，显著领先于其他竞争对手，但对比日本等成熟市场（行业CR5达44.1%），市场集中度仍有较大提升空间。海天在调味品行业综合竞争力强，包括B端渠道壁垒高、经销商粘性强，C端品牌影响力广，显著领先的规模优势以及横跨多品类的市场领先地位等。,
MISSING,d5166426e7364e1ea5880e78483e7fea,5,,Section: 国内增长与海外拓展、盈利与分红逻辑\n\n国内多元增长提份额，海外打开空间；公司高盈利、高分红有望延续。针对国内市场，公司积极拥抱健康化、便捷化、场景化、定制化等趋势，同时加快拓展复调赛道，未来有望稳步提升市场份额；自港股上市以来，公司加快海外市场布局，打开未来成长空间。另外，公司有望凭借强产业定价权与对规模效率的极致挖潜，保持较高利润率；同时，公司逐步加大分红率，价值逻辑有望进一步凸显。,
MISSING,d2ef7d5202ab4bc7ab5dab66e00c4765,6,,Section: 盈利预测与投资评级\n\n盈利预测与评级：我们预计公司2026-2028年公司归母净利润分别为78.5/86.9/95.1亿元，同比增速分别为+11.5%/+10.7%/+9.5%，当前股价对应的PE分别为26/24/22倍。我们选取的可比公司中炬高新、千禾味业、天味食品26年平均PE值23倍，鉴于公司经营稳健，保持较高利润率水平同时逐步提升分红率，价值逻辑有望不断凸显，首次覆盖给予“买入”评级。,
MISSING,8b2f3174f55f4b86a6a62415346b445e,7,,Section: 盈利预测与估值逻辑重申\n\n我们预计公司 2026-2028 年营业收入分别为 313.6/338.7/364.1 亿元，分别同比 +8.6%/+8.0%/+7.5%。利润端，伴随公司规模效应与内部经营效率提升，我们预计公司费用率有望持续优化，净利润率或稳步提升，预计 2026-2028 年公司归母净利润分别为 78.5/86.9/95.1 亿元，同比增速分别为 +11.5%/+10.7%/+9.5%；考虑到公司经营稳健，保持较高利润率水平同时逐步提升分红率，价值逻辑有望不断凸显，首次覆盖，给予“买入”评级。,
MISSING,f7bf50ad92e84ab494f080bb9bf7f374,8,,Section: 盈利预测关键假设\n\n关键假设公司国内市场份额有望稳步提升，同时加速布局国际市场；分品类看，预计 2026-2028 年酱油营收分别为 161.3/172.6/183.0 亿元，同比增速分别为 8%/7%/6%，同时期蚝油营收分别为 51.4/53.7/56.1 亿元，同比增速分别为 5.5%/4.5%/4.5%，同时期调味酱营收分别为 31.7/34.2/36.8 亿元，同比增速分别为 8.5%/8%/7.5%，同时期特色调味品及其他营收分别为 53.8/61.9/71.2 亿元，同比增速分别为 15%/15%/15%。,
MISSING,e9c5865dce224efaba7bd023c6d7ca6a,9,,Section: 投资逻辑要点重述\n\n调味品刚需特征较强、市场容量大，近年稳健扩张下呈现结构性机会；公司积极拥抱行业健康化、便捷化、场景化、定制化等趋势，同时加快拓展复调赛道，未来有望稳步提升国内市场份额，同时加速布局国际市场；另外，公司盈利能力较强，且凭借强产业定价权与对规模效率的极致挖潜，未来较高的利润率有望延续。同时，公司逐步加大分红率，价值逻辑有望进一步凸显。,
MISSING,9faa0ae7500340e298404d0eee0eed8d,10,,Section: 海天经营复盘：历史业绩与周期调整\n\n1. 海天经营复盘：调味品行业的领军品牌海天味业是历史悠久的中国调味品龙头企业，致力于提供优质产品以满足BC端客户的调味需求；在我国庞大且相对分散的调味品市场，公司收入规模优势明显，产品矩阵高度完整，全国市场覆盖度广，品牌影响力更是家喻户晓。截至2025年末，公司实现营收/归母净利润约289/70亿元，2014-2025年复合增速分别为10%/12%。\n\n2014-2021年上市后收入高增期：受益于B端餐饮需求高景气度以及家庭调味品消费升级，公司自2014年上市以来收入/归母净利润保持快增，2014-2021年CAGR分别为14%/18%；除2016年受外部环境影响外，2014-2020年期间公司每一年基本都超预期完成年初制定的收入和利润目标，整体展现出较高的业绩稳健性。直至2021年，在消费需求疲软、社区团购恶性竞争以及原材料价格上涨等影响下，公司面临业绩增长放缓压力，例如2021年H1收入端同比增速降至6%。\n\n2022年-至今，经营周期调整结束后，进入稳健扩张的新阶段：2022年受外部环境、经营成本高企以及添加剂舆情等冲击，公司2022年H2首次出现收入同比下滑现象，并延续至2023全年，2022年归母净利润出现自上市以来的首次下降；调整期间，公司用产品品质正面回应舆情，同时开始内部调整，包括梳理产品（例如拥抱0添加系列、有机系列、薄盐系列等健康类产品）、渠道结构（例如，强化多场景开发、多渠道销售）等，最终稳住了市场与品牌形象。2024年以来，公司完成董事会换届（程雪女士接任董事长），同时以全新的经营势能回归成长道路；2025年，公司在餐饮消费承压的背景下保持稳健增长，并完成港股上市，开启海外扩张新篇章。,
MISSING,9d3b975eb180438585a745460868e634,11,,Section: 图表1说明与来源标注\n\n图表1: 公司业务复盘，营收规模变化| 营业收入/亿元 | yoy (%右轴) | | | | | | |\n\n资料来源：ifind，华源证券研究所源引金融活水 润泽中华大地第5页/共20页,
MISSING,824f8805c7e24349a98faa5024c611fa,12,,"Section: 品类与渠道布局分析\n\n源引金融活水 润泽中华大地品类端: 海天拥有全面的品类布局, 具体包括酱油、蚝油、调味酱、食醋、料酒、鸡精鸡粉等特色调味品, 其中前三者为核心品类, 2025 年收入占比分别为 51.7%/16.9%/10.1%, 例如 2014-2021 年期间蚝油品类销售收入稳步快增, 营收占比不断提升, 而 2022-2025 年其他 (含特色调味品) 收入保持双位数快增, 成为近年公司收入主要增长引擎。截至 2024 年, 公司 sku 总数达 1450 余个, 家庭渗透率达 80%以上, 同时公司在多品类上取得市场领先地位, 即公司拥有 7 个年收入超 10 亿元销售收入的大单品, 31 个年收入超亿元的大单品, 以 2024 年收入计, 亿级以上的产品系列合计占产品销售收入的 76.6%。\n\n渠道端: 公司营收以经销渠道为主, 2022-2024 年该渠道收入占比基本保持在 95%以上; 公司全国市场/渠道布局广而深, 至今已实现几乎 100%地级市全面覆盖以及近 90%的县级市覆盖, 截至 2024 年, 公司拥有 6707 家经销商伙伴, 单商年收入达 356 万元, 其中合作时长超过五年的经销商数量超 3000 家, 于 2024 年收入贡献占比超 65%, 其中年销售规模超 1000 万元的经销商贡献了 40%以上的收入; 截至 2025 年, 公司销售终端覆盖量约 300 万个。",
MISSING,7a998fa893f1424294be074abf2b95f7,13,,"Section: 图表2、3说明与来源标注\n\n图表 2: 品类视角, 公司收入结构变化| 酱油收入占比 | 蚝油收入占比 | 调味酱收入占比 | 其他收入占比 |\n\n资料来源: 公司公告, 华源证券研究所图表 3: 渠道视角, 公司经销商数量/单商收入变化| 经销商数量/家 |\\cline{3-7}| | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025 8,000 | | | | | | |7,500 | | | | | | |7,000 | | | | | | |6,500 | | | | | | |6,000 | | | | | | |5,500 | | | | | | |4,500 | | | | | | |4,000 | | | | | | |3,500 | | | | | | |3,000 | | | | | | |资料来源: 公司公告, 华源证券研究所",
MISSING,2d73e2a26337461da0f195f3ae8a24cc,14,,Section: 图表4结构化描述\n\n{p{0.45\\textwidth} p{0.45\\textwidth}}\n\n产品品类 | 产品图片 | SKU数量 | 代表大单品 | 零售定价 |酱油系列 | | 287 |{@{}c@{}}金标生抽、草菇老抽等(10亿元级别大单品)|{@{}c@{}}5.5-18元/500ml或\n\n|蚝油系列 | | 80 |{@{}c@{}}上等蚝油系列(连续十余年销售额超过10亿元)|{@{}c@{}}4.8-15元/500克|调味酱系列 | | 154 |{@{}c@{}}黄豆酱系列(连续十余年销售额超过10亿元)|{@{}c@{}}7.6-30.8元/500克|特色调味品 | | 956 |{@{}c@{}}食醋、料酒、凉拌汁等品类|{@{}c@{}}4.3-19元/500ml或,
MISSING,3663d254aeb44629bb07bc82e5a5ed56,15,,"Section: 股权结构、管理层与员工持股计划\n\n|资料来源：公司招股书，市值观察公众号，华源证券研究所海天股权结构清晰，管理团队能力卓越。截至 2026 年 3 月，公司总股本扩充至 58.5 亿股；其中，庞康、程雪与另外四名自然人股东为一致行动人，2025 年末六人合计持海天集团股份 71.8%，并直接及通过海天集团间接合计持有公司 52.58%的股份,为公司的实际控制人。同时，公司拥有简单务实、开放共享的企业文化与管理团队，企业整体经营能力卓越。另外，公司 2024 年 9 月推出员工持股计划，并计划分五期实施，即在 2024-2028 年的五年内，每年滚动设立独立存续的各期员工持股计划，以激励公司高管层与核心骨干；其中，2026 年 A 股员工持股计划（草案）主要考核公司归母净利润增长，即 2025-2027 年归母净利润复合增速目标为 11.5%（该等指标计算须剔除如下事项的影响：在考核年度公司发生的并购重组及资本运作（如有的影响））。",
MISSING,ec188955f1684f4da33da9c90d74256e,16,,Section: 调味品行业刚需与抗周期性\n\n2.调味品行业：市场容量大，行业龙头强者恒强调味品作为必选消费里的代表，刚需特征明显，具备较强的抗周期性；同时较低的消费频次使得消费者对提价相对不敏感，故行业需求韧性较高。另一方面，调味品行业B端渠道占比较高，该渠道易守难攻以及C端龙头较强的品牌力共同形成了海天的核心竞争力。,
MISSING,22b6cfd3c7df40bfbdce5646452ce4fc,17,,Section: 全球与中国调味品市场空间及结构性增长\n\n2.1.全球调味品市场空间广阔，国内调味品呈结构性增长截至2024年，根据弗若斯特沙利文，全球调味品总市场规模达2.14万亿元，2019-2024年CAGR为3.2%；其中，中国是全球调味品市场中第三大的国家/地区，但相较于美国与日本，我国每年调味品人均消费金额仅354元，约为日本的1/3、美国的1/5，未来随着我国经济水平提升，行业或仍具备价增空间。另外，根据弗若斯特沙利文，预计2024-2029年期间拉美市场和东南亚市场在全球主要市场中增速最快。\n\n我国调味品刚需特征较强、市场容量大，近年稳健扩张。根据弗若斯特沙利文，按收入计截至2024年我国调味品市场规模达4981亿元，2019-2024年CAGR约4.1%，整体呈稳健扩张态势。分品类看，以酱油为代表的基础调味品市场占比较高，但2019-2024年市场规模复合增速放缓至2.9%，而复合调味品景气度相对更高，2019-2024年复合市场增速达高个位数。分渠道看，我国调味行业主要包括B端（餐饮、食品加工业等）和家庭个人客户，其中B端消费量大且稳定，截至2024年需求占比达62.3%，但受餐饮需求复苏缓慢等影响，市场增速放缓，而C端得益于品类结构升级，市场增长更快，2019-2024年市场规模CAGR达6.3%。,
